"id","BusinessE","Lon2","Lat2","LonLat2","HWName","HWcode","TransferV","ActualReceiveV","TransferDate","ReceiptDate"
"155","太原华盛丰贵金属材料有限公司","112.288998","37.570108","112.288998,37.570108","废钯触媒","261-152-50","14.7","14.7","NULL","NULL"
"156","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.2","NULL","NULL","NULL"
"157","青岛惠城环保科技股份有限公司","120.191766","36.043408","120.191766,36.043408","废催化剂","251-017-50","32.12","NULL","NULL","NULL"
"158","青岛惠城环保科技股份有限公司","120.191766","36.043408","120.191766,36.043408","废催化剂","251-017-50","31.64","NULL","NULL","NULL"
"159","青岛惠城环保科技股份有限公司","120.191766","36.043408","120.191766,36.043408","废催化剂","251-017-50","31.64","NULL","NULL","NULL"
"160","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.2","33.2","NULL","NULL"
"161","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废旧铅酸蓄电池","900-052-31","33.44","33.44","NULL","NULL"
"162","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.32","34.32","NULL","NULL"
"163","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.45","33.45","NULL","NULL"
"164","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.68","33.68","NULL","NULL"
"165","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废旧铅酸蓄电池","900-052-31","34.29","NULL","NULL","NULL"
"166","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.5","33.5","NULL","NULL"
"167","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅酸蓄电池","900-052-31","34.02","34.02","NULL","NULL"
"168","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅酸蓄电池","900-052-31","34.31","34.31","NULL","NULL"
"169","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.3","33.3","NULL","NULL"
"170","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.72","33.72","NULL","NULL"
"171","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.965","33.965","NULL","NULL"
"172","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.19","33.19","NULL","NULL"
"173","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","34.17","34.17","NULL","NULL"
"174","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.61","33.61","NULL","NULL"
"175","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.75","33.75","NULL","NULL"
"176","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.5","34.5","NULL","NULL"
"177","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.55","33.55","NULL","NULL"
"178","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.76","33.76","NULL","NULL"
"179","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.69","33.69","NULL","NULL"
"180","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","34.01","34.01","NULL","NULL"
"181","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.0","34.0","NULL","NULL"
"182","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.575","33.575","NULL","NULL"
"183","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.68","33.68","NULL","NULL"
"184","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.59","33.59","NULL","NULL"
"185","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅蓄电池","900-052-31","34.19","34.19","NULL","NULL"
"186","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.0","34.0","NULL","NULL"
"187","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.0","33.0","NULL","NULL"
"188","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.95","33.95","NULL","NULL"
"189","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废旧铅酸蓄电池","900-052-31","34.35","34.35","NULL","NULL"
"190","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅蓄电池","900-052-31","34.28","34.28","NULL","NULL"
"191","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.05","34.05","NULL","NULL"
"192","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.4","34.4","NULL","NULL"
"193","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废旧铅酸蓄电池","900-052-31","34.01","34.01","NULL","NULL"
"194","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废旧铅酸蓄电池","900-052-31","33.655","33.655","NULL","NULL"
"195","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.74","33.74","NULL","NULL"
"196","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.26","33.26","NULL","NULL"
"197","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.55","33.55","NULL","NULL"
"198","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.6","33.6","NULL","NULL"
"199","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.2","33.2","NULL","NULL"
"200","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.67","33.67","NULL","NULL"
"201","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.71","33.71","NULL","NULL"
"202","西安凯立新材料股份有限公司","108.984524","34.494041","108.984524,34.494041","废催化剂-钯炭","271-006-50","4.992","4.992","NULL","NULL"
"203","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.2","NULL","NULL","NULL"
"204","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.55","33.55","NULL","NULL"
"205","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.0","33.0","NULL","NULL"
"206","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅蓄电池","900-052-31","33.55","33.55","NULL","NULL"
"207","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.57","33.57","NULL","NULL"
"208","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.6","NULL","NULL","NULL"
"209","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.01","34.01","NULL","NULL"
"210","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.75","33.75","NULL","NULL"
"211","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.4","34.4","NULL","NULL"
"212","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","34.11","34.11","NULL","NULL"
"213","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废旧铅酸蓄电池","900-052-31","33.925","33.925","NULL","NULL"
"214","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.095","34.095","NULL","NULL"
"215","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.05","34.05","NULL","NULL"
"216","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","34.09","34.09","NULL","NULL"
