"id","TransOutE","Lon1","Lat1","LonLat1","BusinessE","Lon2","Lat2","LonLat2","LineLonLat","HWName","HWcode","TransferV","ActualReceiveV","TransferDate","ReceiptDate"
"155","石家庄柏坡正元化肥有限公司","114.083727","38.252994","114.083727,38.252994","太原华盛丰贵金属材料有限公司","112.288998","37.570108","112.288998,37.570108","[114.083727,38.252994],[112.288998,37.570108]","废钯触媒","261-152-50","14.7","14.7","NULL","NULL"
"156","石家庄钢铁有限责任公司特殊钢分公司","114.565246","38.055819","114.565246,38.055819","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","[114.565246,38.055819],[113.298350,40.780466]","电炉除尘灰","312-001-23","33.2","NULL","NULL","NULL"
"157","中国石油化工股份有限公司石家庄炼化分公司","114.667080","37.985617","114.667080,37.985617","青岛惠城环保科技股份有限公司","120.191766","36.043408","120.191766,36.043408","[114.667080,37.985617],[120.191766,36.043408]","废催化剂","251-017-50","32.12","NULL","NULL","NULL"
"158","中国石油化工股份有限公司石家庄炼化分公司","114.667080","37.985617","114.667080,37.985617","青岛惠城环保科技股份有限公司","120.191766","36.043408","120.191766,36.043408","[114.667080,37.985617],[120.191766,36.043408]","废催化剂","251-017-50","31.64","NULL","NULL","NULL"
"159","中国石油化工股份有限公司石家庄炼化分公司","114.667080","37.985617","114.667080,37.985617","青岛惠城环保科技股份有限公司","120.191766","36.043408","120.191766,36.043408","[114.667080,37.985617],[120.191766,36.043408]","废催化剂","251-017-50","31.64","NULL","NULL","NULL"
"160","石家庄钢铁有限责任公司特殊钢分公司","114.565246","38.055819","114.565246,38.055819","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","[114.565246,38.055819],[113.298350,40.780466]","电炉除尘灰","312-001-23","33.2","33.2","NULL","NULL"
"161","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","[115.219928,38.182801],[122.409791,43.007686]","废旧铅酸蓄电池","900-052-31","33.44","33.44","NULL","NULL"
"162","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[115.219928,38.182801],[112.477247,35.093538]","废旧铅酸蓄电池","900-052-31","34.32","34.32","NULL","NULL"
"163","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[115.219928,38.182801],[112.477247,35.093538]","废旧铅酸蓄电池","900-052-31","33.45","33.45","NULL","NULL"
"164","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[115.219928,38.182801],[112.477247,35.093538]","废旧铅酸蓄电池","900-052-31","33.68","33.68","NULL","NULL"
