entid,indName
000071fb5f874543aaf528f773034927,滚动轴承制造
0004e621ee4648a3a66a37317948236e,其他纸制品制造
0005fae2fd654ef9b31eed7c6dcb0125,机制纸及纸板制造
0007e65decb0435b92108bbf444cfee0,橡胶零件制造
0008faa4ee26435eb7e0e56ede39e0c2,风力发电
000ce979b7a444b281489f313be01a37,黑色金属铸造
001022eaebed41c488cf5d17b491394d,矿山机械制造
00179bbc6f0e4454b14de8118b9b2d85,汽车修理与维护
0017e9dd82714d01812c27b1a3434ed5,金属结构制造
0017f2991ab14878b37d05a02ec990f1,木质家具制造
0019e9b7aa4043d69b2e741fe67a3162,金属结构制造
001b1da2aded4d6e886cbe62836a892f,综合医院
001b5bc7f22d4bd49e461fba2376dba9,金属结构制造
001c753d4dc2415b85637bd778c36d6b,汽车零部件及配件制造
001e20cbbf82404db9be3a90d3a7eca4,装订及印刷相关服务
001fb2e9bffa4345a9f73597a5b6c6ed,塑料板、管、型材制造
00224c7ed9534ef3b7db6e6a9db87a12,塑料板、管、型材制造
002444a8eac84e919abe413ab72285c5,水泥制品制造
00283add546f49399a8f3decc324e14f,固体废物治理
0029c664aa554a7180e894ee8c78489f,油气仓储
002a4f54d2aa4ab98f300e4dcdf7900f,玻璃纤维增强塑料制品制造
002c599b5d9545f48f35dc4b7a7780a6,金属门窗制造
002e6941b80b4ae19c269399d79fd602,包装装潢及其他印刷
0032c0927c394447a607f49e3d464c64,环境保护监测
0033fe7eb9be486cad7dcd7fffdc9292,日用玻璃制品制造
0034f0527ee5498a9094c709bf1ac838,炼铁
0039de8450ff4ba9836bfb61ca1e5547,其他玻璃制品制造
003bbff3ad1c420193ad809ef8d9739c,木质家具制造
003cfc67fb5145c98d32918403372b83,金属结构制造
003f8f3ed39344afb54fdfe79fae4bd4,金属表面处理及热处理加工
003ff59f33524f2ca7297b538e9986dc,有机化学原料制造
00424b828e9a47e3b8b94152897ec93b,其他金属加工机械制造
0043c225dbfc4f6f8f1b4c86ac93f0cb,其他制鞋业
00474b83425f4649a6b67671e5960137,耐火陶瓷制品及其他耐火材料制造
00497585e1854a428328ce376897eb11,金属丝绳及其制品制造
0049d657c49d4b04a9c0ff35f8934003,普通初中教育
004cd7b794ab48b7bb25fcb94c2bc9c7,其他玻璃制品制造
005885f333ed463f8325d0bbe9904005,塑料板、管、型材制造
0058d24adb3449f48244267378f23abc,紧固件制造
005d01f0d64d40198c373428fab28d16,塑料人造革、合成革制造
00602321e0654c2981d5ebeecfa9fe75,其他基础化学原料制造
00614cade66e41d88378f792328683f0,塑料薄膜制造
006640ce3e2a49be95a9448354974047,包装装潢及其他印刷
006c9e6ff9034968acee1ad8cda4660e,其他制鞋业
006e060df5b3486cad2b70e515d10f6f,建筑用石加工
00724368055a4e94998aa81a8115c255,肉制品及副产品加工
0074231ec49144c8a50e44e7ff622ac9,再生橡胶制造
0075473f583945529d496d42c72a4231,建筑用木料及木材组件加工
00754f119b0f4e6a9429de54b7a2d224,金属废料和碎屑加工处理
00778c7f227a4a00a80c0b5a6e713c76,金属结构制造
007b5970a72e4b0982c412254536d6b1,金属结构制造
007bab8cc5f144fdbeab83ada67a8c88,其他金属加工机械制造
007dadf8eb554cdba5dcd778e024255d,皮革鞣制加工
00807a7ccbbc4f419306305a4fd24546,儿童乘骑玩耍的童车类产品制造
0080c98a61154581b21e8ddfbb6520c9,汽车修理与维护
008134c421144829b0a478ee6b090819,汽车修理与维护
0083bcd0e4594548898260083a70098d,其他日用化学产品制造
008447bb17384e29824e1fedecd5e0d4,金属表面处理及热处理加工
00856e1e3e944735b2020952d9c271cd,金属结构制造
0085b0b96da842a7ae3dfb170bc4f34b,塑料零件及其他塑料制品制造
00872d1069d246fc8cc14dba1058c5e6,铁矿采选
008af1d3ceeb40e2a4c5ab6f565a2d35,其他饲料加工
008bbaebe69f4bbd898f745b8f96b120,其他建筑材料制造
009174cb47894ac89806937f47e44c65,玻璃纤维增强塑料制品制造
00917b01e5d24076a686ed999bdfab26,其他家具制造
